"id","time","sender","name","content"
"86","2022-05-10 01:34:50","993903016","first_name","Պոլիտեխնիկական համալսարան"
"87","2022-05-10 01:34:56","993903016","first_name","Քաղաքային"
"88","2022-05-10 01:35:07","993903016","first_name","Քաղաքամետ"
"89","2022-05-10 01:35:14","993903016","first_name","Աբովյան"
"90","2022-05-10 01:35:15","993903016","first_name","Մյասնիկյան"
"91","2022-05-10 01:35:18","993903016","first_name","Ճիշտ է"
"92","2022-05-10 01:35:21","993903016","first_name","Ճիշտ է"
"93","2022-05-10 01:35:22","993903016","first_name","Սխալ է"
"94","2022-05-10 01:39:00","993903016","first_name","reset: 172"
"95","2022-05-10 01:39:00","993903016","first_name","Ճիշտ է"
"96","2022-05-10 01:39:01","819980692","first_name","/start"
"97","2022-05-10 01:39:09","819980692","first_name","Օկ"
"98","2022-05-10 01:39:11","819980692","first_name","Օկ"
"99","2022-05-10 01:39:14","819980692","first_name","երեխան"
"100","2022-05-10 01:39:19","819980692","first_name","ախպերիկ"
"101","2022-05-10 01:39:21","819980692","first_name","Հեքիաթ"
"102","2022-05-10 01:39:24","819980692","first_name","Գրա"
"103","2022-05-10 01:39:29","819980692","first_name","ageddon"
"104","2022-05-10 01:39:31","819980692","first_name","Դողը"
"105","2022-05-10 01:39:34","819980692","first_name","Գիշեր"
"106","2022-05-10 01:39:36","819980692","first_name","Թափանցիկ"
"107","2022-05-10 01:39:39","819980692","first_name","Օկ"
"108","2022-05-10 01:39:45","819980692","first_name","Քիրվա"
"109","2022-05-10 01:39:53","819980692","first_name","Հողի դողը"
"110","2022-05-10 01:39:56","819980692","first_name","Գրամեքենան"
"111","2022-05-10 01:40:04","819980692","first_name","Ալիբի"
"112","2022-05-10 01:40:10","819980692","first_name","Վերջը"
"113","2022-05-10 01:40:16","819980692","first_name","Գրամեքենան"
"114","2022-05-10 01:40:21","819980692","first_name","Տժվժիկ"
"115","2022-05-10 01:40:26","819980692","first_name","Բուք, երգը, երեխան"
"116","2022-05-10 01:40:33","819980692","first_name","Երրորդ…մաս"
"117","2022-05-10 01:40:34","819980692","first_name","Վագոնից թռչելու ժամանակը"
"118","2022-05-10 01:40:38","819980692","first_name","Երրորդ․․․ մաս"
"119","2022-05-10 01:40:43","819980692","first_name","Ալիբի"
"120","2022-05-10 01:40:45","819980692","first_name","Վագոնից թռչելու ժամանակը"
"121","2022-05-10 01:40:47","819980692","first_name","Գառ-ախպերիկ"
"122","2022-05-10 01:40:54","819980692","first_name","Վերջը"
"123","2022-05-10 01:40:58","819980692","first_name","Հեքիաթ փուչ ընկույզների մասին"
"124","2022-05-10 01:41:01","819980692","first_name","ARMageddon"
"125","2022-05-10 01:41:04","819980692","first_name","Հողի դողը"
"126","2022-05-10 01:41:06","819980692","first_name","Ալիբի"
"127","2022-05-10 01:41:07","819980692","first_name","Քիրվա"
"128","2022-05-10 01:41:09","819980692","first_name","ARMageddon"
"129","2022-05-10 01:41:21","819980692","first_name","Թափանցիկ շշեր"
"130","2022-05-10 01:41:24","819980692","first_name","Նկուղը"
"131","2022-05-10 01:41:33","819980692","first_name","Սրբիչը"
"132","2022-05-10 01:41:35","819980692","first_name","Օկ"
"133","2022-05-10 01:41:37","819980692","first_name","Արշակունյաց"
"134","2022-05-10 01:41:45","819980692","first_name","Կոնդ"
"135","2022-05-10 01:41:50","819980692","first_name","Դիանա Աբգար"
"136","2022-05-10 01:41:54","819980692","first_name","Տավուշի մարզ"
"137","2022-05-10 01:41:57","819980692","first_name","Պոլիտեխնիկական համալսարան"
"138","2022-05-10 01:42:02","819980692","first_name","Քաղաքամետ"
"139","2022-05-10 01:42:05","819980692","first_name","Մյասնիկյան"
"140","2022-05-10 01:42:09","819980692","first_name","Ճիշտ է"
