"time","sender","name","content"
"2021-12-07 13:23:13","993903016","Mher",">>"
"2021-12-07 13:23:25","993903016","Mher",">>"
"2021-12-07 13:23:32","993903016","Mher",">>"
"2021-12-07 13:23:40","993903016","Mher","Lusine! You have to come with me to the land where no fire can cross!"
"2021-12-07 13:23:45","993903016","Mher","What do you mean? You knew? Why didn’t you say anything?"
"2021-12-07 13:23:53","993903016","Mher","You didn’t want to burden me so you were just gonna let the fire consume me and everyone in the village?"
"2021-12-07 13:24:05","993903016","Mher","… Whatever, I know everything now. Can you help me find the land where no fire can cross?"
"2021-12-07 13:24:25","993903016","Mher","I asked Masbur but he didn’t understand me, even the soil doesn’t get me. I could only talk with the trees"
"2021-12-07 13:24:34","993903016","Mher","They gave me their seeds and their flowers but they themselves decided to stay and meet the fire with their soil"
"2021-12-07 13:24:48","993903016","Mher","But what if I don’t make it to the land where no fire can cross in time? What if it catches me? What if …"
"2021-12-07 13:25:10","993903016","Mher","Come with me, I’ll get you and the seeds to the land where no fire can cross, it’s too dangerous to try slowing the fire down"
"2021-12-07 13:25:37","993903016","Mher",">>"
"2021-12-07 13:25:42","993903016","Mher","Slow down"
"2021-12-07 13:25:51","993903016","Mher",">>"
"2021-12-07 13:25:58","993903016","Mher",">>"
"2021-12-07 13:26:16","993903016","Mher",">>"
"2021-12-07 13:26:32","993903016","Mher",">>"
"2021-12-07 13:26:56","993903016","Mher",">>"
"2021-12-07 13:27:04","993903016","Mher",">>"
"2021-12-07 13:27:21","993903016","Mher",">>"
"2021-12-07 13:27:31","993903016","Mher",">>"
"2021-12-07 13:27:39","993903016","Mher",">>"
"2021-12-07 13:27:52","993903016","Mher",">>"
"2021-12-07 13:28:12","993903016","Mher",">>"
"2021-12-07 13:28:26","993903016","Mher",">>"
"2021-12-07 13:28:33","993903016","Mher",">>"
"2021-12-07 13:28:48","993903016","Mher","Dance with the sand, slowly making my way through the desert"
"2021-12-07 13:29:05","993903016","Mher",">>"
"2021-12-07 13:29:08","993903016","Mher",">>"
"2021-12-07 13:29:19","993903016","Mher","Death"
"2021-12-07 13:29:33","993903016","Mher","Chaos"
"2021-12-07 13:41:03","993903016","Mher","An explosion"
"2021-12-07 13:41:12","993903016","Mher","Subtraction"
"2021-12-07 13:41:41","993903016","Mher","Fall"
"2021-12-07 13:41:44","993903016","Mher","Summer"
"2021-12-07 13:41:54","993903016","Mher","Fire"
"2021-12-07 13:41:59","993903016","Mher",">>"
"2021-12-07 13:42:58","993903016","Mher",">>"
"2021-12-07 13:43:19","993903016","Mher",">>"
"2021-12-07 13:43:27","993903016","Mher",">>"
"2021-12-07 13:43:32","993903016","Mher",">>"
"2021-12-07 13:43:42","993903016","Mher",">>"
"2021-12-07 13:43:54","993903016","Mher",">>"
"2021-12-07 13:44:05","993903016","Mher",">>"
"2021-12-07 13:44:13","993903016","Mher",">>"
