"id","time","address","isp","country","rdns","screenx","screeny","user_agent","timestamps","path"
"1110","2022-07-23 14:55:54","46.71.111.219","Telecom Armenia CJSC","Armenia","46.71.111.219","360","640","Mozilla/5.0 (Linux; Android 8.0.0; SM-G935F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",",9.5,26.9,34.3,35.5",NULL
"1109","2022-07-23 14:10:58","46.36.116.199","Ucom CJSC","Armenia","host-199.116.36.46.ucom.am","390","844","Mozilla/5.0 (iPhone; CPU iPhone OS 15_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 242.0.0.7.110 (iPhone14,5; iOS 15_0_2; en_AM; en-AM; scale=3.00; 1170x2532; 380322996)",",10.8,24.6,34.1,36.2",NULL
"1108","2022-07-23 13:12:51","46.71.111.219","Telecom Armenia CJSC","Armenia","46.71.111.219","1366","768","Mozilla/5.0 (X11; Linux x86_64; rv:97.0) Gecko/20100101 Firefox/97.0",",10.8,119.9,164.6,168.1",NULL
"1107","2022-07-23 12:48:18","91.103.250.24","Isp Support LLC","Armenia","91.103.250.24","412","846","Mozilla/5.0 (Linux; Android 10; SM-A605FN Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.71 Mobile Safari/537.36 Instagram 244.1.0.19.110 Android (29/10; 420dpi; 1080x2220; samsung; SM-A605FN; a6plte; qcom; en_US; 384108439)",",13.4,77.2,97,99.6",NULL
"1106","2022-07-23 12:28:21","37.252.89.215","Ucom CJSC","Armenia","host-215.89.252.37.ucom.am","428","926","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 244.0.0.12.112 (iPhone13,4; iOS 15_5; en_AM; en-AM; scale=3.00; 1284x2778; 383361019) NW/3",",9,41.2,43.2,87.6",NULL
"1105","2022-07-23 12:25:33","37.252.82.54","Ucom CJSC","Armenia","host-54.82.252.37.ucom.am","390","844","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 244.0.0.12.112 (iPhone14,5; iOS 15_5; en_AM; en-AM; scale=3.00; 1170x2532; 383361019)",",2.9,15.9,77.7,79.5",NULL
"1104","2022-07-23 12:19:51","46.36.115.21","Ucom CJSC","Armenia","host-21.115.36.46.ucom.am","428","926","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 244.0.0.12.112 (iPhone14,3; iOS 15_5; en_RU; en-RU; scale=3.00; 1284x2778; 383361019) NW/3",",8.5,9,13.7,17.7",NULL
"1103","2022-07-23 12:17:52","37.252.91.40","Ucom CJSC","Armenia","host-40.91.252.37.ucom.am","360","800","Mozilla/5.0 (Linux; Android 12; SM-G780G Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.71 Mobile Safari/537.36 Instagram 244.1.0.19.110 Android (31/12; 480dpi; 1080x2267; samsung; SM-G780G; r8q; qcom; en_US; 384108453)",",7,8.8,43.6,45.3",NULL
"1102","2022-07-23 12:11:59","37.252.89.72","Ucom CJSC","Armenia","host-72.89.252.37.ucom.am","414","896","Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 244.0.0.12.112 (iPhone11,8; iOS 15_4_1; en_US; en-US; scale=2.00; 828x1792; 383361019) NW/3",",71.6,75.5,85.2,90.8",NULL
"1101","2022-07-23 12:11:22","217.76.11.161","MTS Armenia CJSC","Armenia","161.11.76.217.in-addr.mts.am","414","896","Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 244.0.0.12.112 (iPhone11,8; iOS 15_4_1; en_AM; en-AM; scale=2.00; 828x1792; 383361019)",",9.4,27.4,49.4,52.8",NULL
"1100","2022-07-23 08:26:00","37.252.88.38","Ucom CJSC","Armenia","host-38.88.252.37.ucom.am","1600","900","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0",",2.7,47.2,65.9,70.4",NULL
"1099","2022-07-23 04:38:17","37.252.88.38","Ucom CJSC","Armenia","host-38.88.252.37.ucom.am","396","858","Mozilla/5.0 (Android 10; Mobile; rv:95.0) Gecko/95.0 Firefox/95.0",",17.9,18.6,30.8,37.5",NULL
"1098","2022-07-17 05:38:14","37.252.90.245","Ucom CJSC","Armenia","host-245.90.252.37.ucom.am","1920","1080","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0",",15.2,17.4,20.4,21.1",NULL
"1097","2022-07-16 09:30:48","37.252.90.245","Ucom CJSC","Armenia","host-245.90.252.37.ucom.am","396","858","Mozilla/5.0 (Android 10; Mobile; rv:95.0) Gecko/95.0 Firefox/95.0",",0.6,0.6,0.6,0.6",NULL
"1096","2022-07-16 09:29:56","37.252.90.245","Ucom CJSC","Armenia","host-245.90.252.37.ucom.am","396","858","Mozilla/5.0 (Android 10; Mobile; rv:95.0) Gecko/95.0 Firefox/95.0",",111.3,112.2,143.9,147.4",NULL
"1095","2022-07-13 14:00:06","14.102.72.123","AS Number for Interdomain Routing","India","14.102.72.123","393","851","Mozilla/5.0 (Linux; Android 11; M2003J15SC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",",24.7,25.7,31.4,37.3",NULL
"1094","2022-07-04 08:02:49","14.102.72.123","AS Number for Interdomain Routing","India","14.102.72.123","393","851","Mozilla/5.0 (Linux; Android 11; M2003J15SC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",",12.6,13.8,18.6,19",NULL
"1093","2022-06-23 22:36:24","37.252.89.65","Ucom CJSC","Armenia","host-65.89.252.37.ucom.am","396","858","Mozilla/5.0 (Android 10; Mobile; rv:95.0) Gecko/95.0 Firefox/95.0",",6.4,6.7,10.8,11.5",NULL
"1092","2022-06-23 07:32:33","81.5.58.161","Partner Communications Ltd.","Israel","81.5.58.161","1715","965","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",",19.3,29,74.1,75.5",NULL
"1091","2022-06-22 19:24:53","73.220.201.100","COMCAST-7922","United States","c-73-220-201-100.hsd1.ca.comcast.net","1920","1080","Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0",",9.5,17.7,21,23.8",NULL
"1090","2022-06-22 17:30:15","2.138.118.77","Telefonica De Espana","Spain","77.red-2-138-118.dynamicip.rima-tde.net","375","812","Mozilla/5.0 (iPhone; CPU iPhone OS 14_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18A393 [FBAN/FBIOS;FBDV/iPhone11,2;FBMD/iPhone;FBSN/iOS;FBSV/14.0.1;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5]",",9.5,10,52.1,59.1",NULL
"1089","2022-06-21 07:23:05","212.73.68.158","Telecom Armenia CJSC","Armenia","212.73.68.158","1440","900","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",",0,0,0,35.1",NULL
"1088","2022-06-19 13:55:31","87.241.189.94","Telecom Armenia CJSC","Armenia","87.241.189.94","1366","768","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:101.0) Gecko/20100101 Firefox/101.0",",5.7,27.8,35.6,38.9",NULL
"1087","2022-06-18 16:19:41","46.71.140.147","Telecom Armenia CJSC","Armenia","46.71.140.147","1366","768","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",",8.6,28,42.3,48.9",NULL
"1086","2022-06-13 14:03:49","14.102.72.123","AS Number for Interdomain Routing","India","14.102.72.123","393","851","Mozilla/5.0 (Linux; Android 11; M2003J15SC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Mobile Safari/537.36",",3.4,22.8,28,31.1",NULL
"1085","2022-06-13 11:50:22","95.140.197.122","MTS Armenia CJSC","Armenia","host-95-140-197-122.customers.mts.am","1792","1120","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",",28.3,28.7,40.1,42.7",NULL
